0.00038795,0.3098793
0.00046544,0.3098127
0.00054504,0.3096817
0.00067819,0.3094854
0.0008236,0.3093542
0.0010248,0.3092875
0.001355,0.3090263
0.0017916,0.3087652
0.002398,0.3082464
0.0031324,0.3079862
0.0039936,0.3077264
0.005092,0.3072098
0.0066521,0.3066296
0.009013,0.3060503
0.012975,0.3053437
0.017796,0.3045754
0.02382,0.3038729
0.032275,0.3031086
0.044807,0.3022195
0.059258,0.3012704
0.07556,0.3005131
0.09754,0.299507
0.12438,0.2985667
0.16857,0.2970071
0.21499,0.2955798
0.2644,0.2941597
0.32123,0.2928078
0.37177,0.2914625
0.40983,0.2904273
0.45178,0.2894563
0.49804,0.2884282
0.54909,0.2870434
0.60539,0.2856056
0.67567,0.2839372
0.7541,0.2824556
0.8416,0.2809231
0.9055,0.2798085
0.9861,0.2790481
1.048,0.2785229
1.1137,0.2781732
1.1692,0.2780564
1.2424,0.2778816
1.3525,0.2780552
1.437,0.2783456
1.5084,0.2786947
1.6024,0.2792775
1.6816,0.2802131
1.83,0.2813869
1.9913,0.2828611
2.1665,0.2848787
2.4442,0.2870905
2.7243,0.2894406
3.0732,0.292054
3.5099,0.2940752
4.0088,0.2960485
4.5238,0.2976615
5.3588,0.299408
6.5044,0.3009756
8.189,0.3019823
10.188,0.3024227
12.371,0.3025474
14.138,0.3026727
16.557,0.302608
19.388,0.3022903
21.893,0.3021628
24.126,0.3020355
27.912,0.3019079
33.484,0.3019063
38.271,0.3019682
43.207,0.3020302
49.982,0.3022185
58.518,0.3024699
66.067,0.3029119
76.41,0.3036082
88.38,0.3039244
99.77,0.3044959
118.24,0.3050042
140.11,0.305705
160.09,0.3064078
187.43,0.3070478
227.55,0.3077531
286.51,0.3084597
374.2,0.3090383
500.66,0.3094883
661.85,0.3098743
907.5,0.3100009
1404.8,0.309932
2255.8,0.3099276
3801.9,0.3099875
