"1/1000000000000",2.859734597375256e-26
"1/(100000000000*10^(71/75))",4.5478612985324026e-26
"1/(100000000000*10^(67/75))",7.232504166530804e-26
"1/(100000000000*10^(21/25))",1.1501915534619673e-25
"1/(100000000000*10^(59/75))",1.8291598306673699e-25
"1/(100000000000*10^(11/15))",2.9089291049447083e-25
"1/(100000000000*10^(17/25))",4.6260957603180515e-25
"1/(100000000000*10^(47/75))",7.356921125116063e-25
"1/(100000000000*10^(43/75))",1.1699776927544154e-24
"1/(100000000000*10^(13/25))",1.860625903504369e-24
"1/(100000000000*10^(7/15))",2.958969879708749e-24
"1/(100000000000*10^(31/75))",4.70567604833039e-24
"1/(100000000000*10^(9/25))",7.483478363088271e-24
"1/(100000000000*10^(23/75))",1.190104202576384e-23
"1/(100000000000*10^(19/75))",1.8926332706138455e-23
"1/(100000000000*10^(1/5))",3.0098714795560584e-23
"1/(100000000000*10^(11/75))",4.786625314108914e-23
"1/(100000000000*10^(7/75))",7.612212698546059e-23
"1/(100000000000*10^(1/25))",1.2105769381427586e-22
"1/(10000000000*10^(74/75))",1.9251912435959763e-22
"1/(10000000000*10^(14/15))",3.0616487128070034e-22
"1/(10000000000*10^(22/25))",4.868967107456862e-22
"1/(10000000000*10^(62/75))",7.74316158295044e-22
"1/(10000000000*10^(58/75))",1.2314018553926075e-21
"1/(10000000000*10^(18/25))",1.9583092942334907e-21
"1/(10000000000*10^(2/3))",3.1143166425216785e-21
"1/(10000000000*10^(46/75))",4.952725383292333e-21
"1/(10000000000*10^(14/25))",7.876363112020148e-21
"1/(10000000000*10^(38/75))",1.252585012721873e-20
"1/(10000000000*10^(34/75))",1.9919970572472024e-20
"1/(10000000000*10^(2/5))",3.1678905908820637e-20
"1/(10000000000*10^(26/75))",5.03792450861725e-20
"1/(10000000000*10^(22/75))",8.01185603681445e-20
"1/(10000000000*10^(6/25))",1.2741325727458898e-19
"1/(10000000000*10^(14/75))",2.0262643330989453e-19
"1/(10000000000*10^(2/15))",3.2223861436495305e-19
"1/(10000000000*10^(2/25))",5.124589269606171e-19
"1/(10000000000*10^(2/75))",8.149679775006746e-19
"1/(1000000000*10^(73/75))",1.2960508040922105e-18
"1/(1000000000*10^(23/25))",2.0611210908426946e-18
"1/(1000000000*10^(13/15))",3.2778191546990447e-18
"1/(1000000000*10^(61/75))",5.212744878817e-18
"1/(1000000000*10^(19/25))",8.289874422351241e-18
"1/(1000000000*10^(53/75))",1.3183460832241682e-17
"1/(1000000000*10^(49/75))",2.0965774710245847e-17
"1/(1000000000*10^(3/5))",3.3342057506309047e-17
"1/(1000000000*10^(41/75))",5.302416982524871e-17
"1/(1000000000*10^(37/75))",8.432480764345885e-17
"1/(1000000000*10^(11/25))",1.3410248962954764e-16
"1/(1000000000*10^(29/75))",2.1326437886319901e-16
"1/(1000000000*10^(1/3))",3.391562335460022e-16
"1/(1000000000*10^(7/25))",5.393631668177983e-16
