"1/1000000000000",2.2078630167815306e-20
"1/(100000000000*10^(17/20))",8.140269652857852e-20
"1/(100000000000*10^(7/10))",3.001272702046165e-19
"1/(100000000000*10^(11/20))",1.1065527576085427e-18
"1/(100000000000*10^(2/5))",4.0797992282943185e-18
"1/(100000000000*10^(1/4))",1.5041995628980837e-17
"1/(100000000000*10^(1/10))",5.545901154470216e-17
"1/(10000000000*10^(19/20))",2.0447432889697335e-16
"1/(10000000000*10^(4/5))",7.538856177389778e-16
"1/(10000000000*10^(13/20))",2.77953485745159e-15
"1/(10000000000*Sqrt[10])",1.0247992323538435e-14
"1/(10000000000*10^(7/20))",3.77837847107782e-14
"1/(10000000000*10^(1/5))",1.3930673848392018e-13
"1/(10000000000*10^(1/20))",5.136162911920677e-13
"1/(1000000000*10^(9/10))",1.8936750429814303e-12
"1/(1000000000*10^(3/4))",6.981875787256637e-12
"1/(1000000000*10^(3/5))",2.574179183718747e-11
"1/(1000000000*10^(9/20))",9.490856622883937e-11
"1/(1000000000*10^(3/10))",3.4992261077696787e-10
"1/(1000000000*10^(3/20))",1.2901448743935618e-9
"1/1000000000",4.793622961659262e-9
"1/(100000000*10^(17/20))",1.767450776974299e-8
"1/(100000000*10^(7/10))",6.516444617660014e-8
"1/(100000000*10^(11/20))",2.402529888041189e-7
"1/(100000000*10^(2/5))",8.857539160604554e-7
"1/(100000000*10^(1/4))",3.2653013420215476e-6
"1/(100000000*10^(1/10))",0.0000120347505571388
"1/(10000000*10^(19/20))",0.000044330836899131915
"1/(10000000*10^(4/5))",0.00016305558662199442
"1/(10000000*10^(13/20))",0.0005974499463980664
"1/(10000000*Sqrt[10])",0.002167532700969533
"1/(10000000*10^(7/20))",0.007667680491442845
"1/(10000000*10^(1/5))",0.02549088745167666
"1/(10000000*10^(1/20))",0.07360622558699083
"1/(1000000*10^(9/10))",0.1620484798868182
"1/(1000000*10^(3/4))",0.2410918648413298
"1/(1000000*10^(3/5))",0.25060423400145276
"1/(1000000*10^(9/20))",0.22172942654517305
"1/(1000000*10^(3/10))",0.1944377279184223
"1/(1000000*10^(3/20))",0.17583829821565913
"1/1000000",0.16213071740908871
"1/(100000*10^(17/20))",0.15021102525737529
"1/(100000*10^(7/10))",0.13874489118281816
"1/(100000*10^(11/20))",0.12706979606222246
"1/(100000*10^(2/5))",0.11527828852013262
"1/(100000*10^(1/4))",0.10292346570049021
"1/(100000*10^(1/10))",0.08964662043791215
"1/(10000*10^(19/20))",0.07606029661552764
"1/(10000*10^(4/5))",0.06288590348360172
"1/(10000*10^(13/20))",0.05053542944901768
"1/(10000*Sqrt[10])",0.03964503382011016
"1/(10000*10^(7/20))",0.03059721924168716
"1/(10000*10^(1/5))",0.02353866187476398
"1/(10000*10^(1/20))",0.01822369492140269
"1/(1000*10^(9/10))",0.014281517677921516
"1/(1000*10^(3/4))",0.01139344039460632
"1/(1000*10^(3/5))",0.009274860413919282
"1/(1000*10^(9/20))",0.007681368157477412
"1/(1000*10^(3/10))",0.006458049022609507
"1/(1000*10^(3/20))",0.00552145305496953
"1/1000",0.004810734150532327
"1/(100*10^(17/20))",0.004259068611301891
"1/(100*10^(7/10))",0.003812212911408192
"1/(100*10^(11/20))",0.00346302653458424
"1/(100*10^(2/5))",0.003195837476608425
"1/(100*10^(1/4))",0.002986349927654817
"1/(100*10^(1/10))",0.002833178611153697
"1/(10*10^(19/20))",0.002727330051959453
"1/(10*10^(4/5))",0.0026507081026856593
"1/(10*10^(13/20))",0.002611450178151021
"1/(10*Sqrt[10])",0.0026191608346639006
"1/(10*10^(7/20))",0.00266468468198754
"1/(10*10^(1/5))",0.002752633082355767
"1/(10*10^(1/20))",0.0029301731345196783
"10^(-9/10)",0.0032639429496098943
"10^(-3/4)",0.0038367527986760508
"10^(-3/5)",0.004752543470020136
"10^(-9/20)",0.006087567914292823
"10^(-3/10)",0.007684622744280899
"10^(-3/20)",0.008591122065048164
1,0.006386869050994161
"10^(3/20)",0.0017953372329561326
"10^(3/10)",0.00008524978705077733
"10^(9/20)",1.974903193904536e-7
"10^(3/5)",1.3404323764759112e-11
"10^(3/4)",3.825225972404836e-21
"10^(9/10)",0.
"10*10^(1/20)",0.
"10*10^(1/5)",0.
"10*10^(7/20)",0.
"10*Sqrt[10]",0.
"10*10^(13/20)",0.
"10*10^(4/5)",0.
"10*10^(19/20)",0.
"100*10^(1/10)",0.
"100*10^(1/4)",0.
"100*10^(2/5)",0.
"100*10^(11/20)",0.
"100*10^(7/10)",0.
"100*10^(17/20)",0.
1000,0.
