2.255878815069336e-7, 0.000004846781319630895
2.360096527542695e-7, 0.000003250969459022615
2.469128918677254e-7, 0.000002200019792108179
2.525519732129128e-7, 0.0000017622630474130765
2.59782275217228e-7, 0.0000014241938812398562
2.64219439015181e-7, 0.0000012139279229990148
2.717837685081833e-7, 9.426429603860913e-7
2.779908594677767e-7, 7.72017172383823e-7
2.843397101004808e-7, 6.322759936714491e-7
2.8919632268855406e-7, 5.318009726000866e-7
2.974757145498596e-7, 4.0749483028576457e-7
3.042695669885686e-7, 3.293218028839621e-7
3.1653429198211696e-7, 2.392588746269124e-7
3.2743964937779445e-7, 1.7382635642835621e-7
3.3872072221075607e-7, 1.3201837082411475e-7
3.5436903567525573e-7, 8.699321172442633e-8
3.645142549594853e-7, 6.755223030937233e-8
3.749499213876908e-7, 5.387120896692716e-8
3.8786783581841136e-7, 4.2018269900902717e-8
3.9897209113287305e-7, 3.4260270014053306e-8
4.127176263084129e-7, 2.5904929003260372e-8
4.293537566870154e-7, 1.941421331607764e-8
4.416457110441381e-7, 1.5620360800137775e-8
4.542895713519217e-7, 1.2456845865032378e-8
4.672954123140757e-7, 1.0477327643086072e-8
4.806735970626587e-7, 8.281582275019478e-9
4.972339429696049e-7, 6.692859400519748e-9
5.143648320855678e-7, 5.220272165647564e-9
5.320859209778187e-7, 4.1262538416781344e-9
5.504175434290112e-7, 3.379369450852825e-9
5.693807337688528e-7, 2.706947422999238e-9
5.88997251009625e-7, 2.187651816414581e-9
6.092896038132019e-7, 1.7837369816477774e-9
6.302810763182699e-7, 1.4415482970792583e-9
6.544542134055562e-7, 1.1964382273198408e-9
6.821168347928677e-7, 9.415122158055189e-10
7.056173782014309e-7, 7.883903079147875e-10
7.340599305735328e-7, 6.572483083748496e-10
7.679722339613242e-7, 5.311630523132111e-10
8.034512273061188e-7, 4.5576641490005143e-10
8.421525511267557e-7, 3.980753161658807e-10
8.84380725194222e-7, 4.388962034598353e-10
9.096996314320218e-7, 5.382811964964749e-10
9.410409421676144e-7, 6.485569621906111e-10
9.679819718643438e-7, 8.168799058923121e-10
9.95694295400266e-7, 9.930048370162508e-10
0.0000010184343033610837, 1.2287201575762615e-9
0.0000010475910250100042, 1.547615499028273e-9
0.0000010836830214275183, 2.074210348534035e-9
0.000001140165824437934, 3.3644072232345686e-9
0.0000011662053227499642, 4.0897965811938935e-9
0.0000011928395200591107, 5.0606153287218644e-9
0.0000012200819983051249, 6.234158340665372e-9
0.000001247946649616759, 7.411999719138377e-9
0.0000012764476833959602, 9.587561967012665e-9
0.0000013129910614826566, 1.1810891664511086e-8
0.0000013278996901163414, 1.5277611981930486e-8
0.000001365916085984623, 1.8325982830475825e-8
0.0000013971113462292448, 2.4236820721106226e-8
0.0000014290190545310516, 3.0799238005233684e-8
0.0000014616554820232229, 3.913851047620964e-8
0.0000014950372714446632, 4.77886278960307e-8
0.0000015120129814303144, 5.707018020008484e-8
0.000001546544852701874, 7.030460068331126e-8
0.0000015908208336257167, 9.937997356818769e-8
0.000001627152545666246, 1.255433487788383e-7
0.000001664314013812495, 1.481628804905834e-7
0.0000017314004263129136, 2.490073172054799e-7
0.0000017709427433268836, 3.2496690419740656e-7
0.000001811388141344576, 4.0749483028576457e-7
0.0000018632463119315636, 5.658857609429095e-7
0.0000019057997705202316, 6.940266561420406e-7
0.000001938351436105689, 8.819429087033969e-7
0.0000019826201712903077, 0.0000011207397977132155
0.00000202789993103855, 0.0000014432795788376746
0.0000020742138054763065, 0.0000017858792278038076
0.000002121585412069686, 0.0000022998407168362154
0.000002170038907668579, 0.000003082389274233059
0.000002219599000825315, 0.000003865186509624518
0.000002283143826471614, 0.0000052497851799098
0.0000023352870485725154, 0.000006671229081279047
